I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
5139		1987	8	13	15	23	  6.9	37	 6.4		 6.4	 6.1				5	PERU		CHILE:  ARICA; PERU:  AREQUIPA, TACNA	 -17.897	  -70.931	160	       1	1			         1	1		1					       1	1			1	1		1				
5142		1987	9	22	13	43	 37.6	10	 6.2		 6.2	 6.1					ECUADOR		ECUADOR:  AMBATO, LATACUNGA, RIOBAMBA	   -.978	  -78.050	160	       2	1			        12	1		2		3			       2	1			12	1		2		3		
5143		1987	10	1	14	42	 20.0	10	 5.7		 5.7	 5.8	5.9			8	USA	CA	CALIFORNIA:  WHITTIER	  34.061	 -118.078	150	       8	1			       200	3	     358.000	4					       8	1			200	3	     358.000	4				
5148		1987	11	24	1	54	 14.5	5	 6.2		 6.2	 5.7				6	USA	CA	CALIFORNIA:  SUPERSTITION HILLS	  33.082	 -115.775	150	       2	1					       3.000	2					       2	1					       3.000	2				
5150	Tsu	1987	11	26	1	43	 14.0	33	 6.5		 6.5	 5.8					INDONESIA		INDONESIA:  TIMOR:  PANTAR, MOUNT SIRUNG	  -8.247	  124.155	170	     125	3			       108	3	       5.000	2	237	3			     125	3			108	3	       5.000	2	237	3		
5153		1987	12	17	2	8	 19.9	63	 6.0			 6.0				8	JAPAN		JAPAN:  HONSHU:  CHIBA PERFECTURE, TOKYO	  35.362	  140.214	30	       2	1					       5.000	2																
5158		1988	2	6	14	50	 45.2	33	 5.8		 5.8	 5.8					BANGLADESH		BANGLADESH:  SYLHET; INDIA:  TIPURA-ASSAM	  24.688	   91.570	60	       2	1			       100	2		2					       2	1			100	2		2				
5161		1988	6	19	20	19	 52.6	17	 6.2	 6.2	 6.4	 5.6				7	PHILIPPINES		PHILIPPINES:  MINDORO:  SAN JOSE, CALAPAN	  12.376	  121.067	170	       2	1			         2	1		2					       2	1			2	1		2				
5163		1988	7	20	23	15	 36.6	51	 5.7		 5.7	 5.8					TAIWAN		TAIWAN:  HUALIEN, SU-HUA	  23.902	  121.598	30	       1	1			         1	1		1					       1	1			1	1		1				
5164	Tsu	1988	8	6	0	36	 24.6	91	 7.2		 7.2	 6.8				6	MYANMAR (BURMA)		MYANMAR (BURMA);  INDIA:  GAUHATI, SIBSAGAR, IMPHAL	  25.149	   95.127	60	      38	1					       1.000	2																
5166		1988	8	11	16	4	 45.6	33	 6.1		 6.1	 5.7					IRAN		IRAN:  S, MAMASANI, BUSHEHR, NURABAD	  29.974	   51.679	140	       1	1						2																
5167		1988	8	20	23	9	  9.5	57	 6.6		 6.6	 6.4				8	NEPAL		NEPAL-INDIA:  KATHMANDU, BIHAR	  26.755	   86.616	60	    1091	4					     131.500	4					    1091	4					     131.500	4				
5174		1988	11	3	14	47	 10.7	69	 6.0		 6.0	 5.6				6	GUATEMALA		GUATEMALA:  S PALIN, SAN VICENTE PACAYA	  13.881	  -90.450	100	       5	1				2		2					       5	1				2		2			100	2
5176		1988	11	6	13	3	 19.3	18	 7.3		 7.3	 6.1				10	CHINA		CHINA:  YUNNAN PROVINCE	  22.789	   99.611	30	     738	3			      3900	4	     269.000	4	412000	4			     738	3			3900	4	     269.000	4	412000	4		
5184		1988	12	7	7	41	 24.2	5	 6.8		 6.8	 6.2				10	ARMENIA		ARMENIA:  LENINAKAN, SPITAK, KIROVAKAN	  40.987	   44.185	40	   25000	4					   16200.000	4		4			   25000	4					   16200.000	4		4		
5191		1989	3	10	21	49	 45.8	30	 6.1		 6.1	 6.2					MALAWI		MALAWI:  SALIMA, DEDZA, MOHINJI	 -13.702	   34.420	10	       9	1			       100	2	      28.000	4					       9	1			100	2	      28.000	4				
5192		1989	4	15	20	34	  8.9	13	 6.2		 6.2	 6.2					CHINA		CHINA:  SICHUAN PROVINCE:  BATANG	  29.987	   99.195	30	      11	1			        42	1	     164.000	4					      11	1			42	1	     164.000	4				
5194		1989	4	25	14	29	   .5	19	 6.8		 6.8	 6.2				6	MEXICO		MEXICO:  MEXICO CITY, ACAPULCO	  16.773	  -99.328	150	       3	1						2																
5197		1989	5	7	0	38	 18.5	33	 5.6		 5.6	 5.3					CHINA		CHINA:  YUNNAN PROVINCE:  GENGMA, LANCANG, MENGLIAN	  23.553	   99.526	30	       1	1			        91	2	      54.000	4	5300	4			       1	1			91	2	      54.000	4	5300	4		
5199		1989	5	27	20	8	 37.3	31	 5.8		 5.8	 5.6					IRAN		IRAN:  DO GOBADAN, FARS, YASUJ	  30.167	   50.921	140	     114	3					       5.000	2					     114	3					       5.000	2				
5207		1989	8	1	0	18	  4.8	14	 5.8		 5.8	 6.0					INDONESIA		INDONESIA:  KURIMA DISTRICT, BALIEM RIVER	  -4.511	  139.022	170	     120	3					       1.000	2																
5209		1989	8	20	11	16	 56.5	12	 6.3		 6.3	 5.8	5.8			9	DJIBOUTI		DJIBOUTI:  GALAFI, YABAKI	  11.766	   41.942	10	       2	1			         2	1		1					       2	1			2	1		1				
5211		1989	9	22	2	25	 50.8	15	 6.1		 6.1	 6.1					CHINA		CHINA:  SICHUAN PROVINCE:  XIAOJIN COUNTY	  31.583	  102.433	30	       1	1			       151	3		3	4270	4			       1	1			151	3		3	4270	4		
5213	Tsu	1989	10	18	0	4	 15.2	19	 6.9	 6.9	 7.1	 6.5				9	USA	CA	CALIFORNIA:  LOMA PRIETA	  37.036	 -121.883	150	      62	2			      3757	4	    5600.000	4		3			      62	2			3757	4	    5600.000	4		3		
5216	Tsu	1989	10	29	19	9	 12.9	6	 5.7		 5.7	 5.7	6.1			8	ALGERIA		ALGERIA:  ALGIERS, CHERCHELL, TIPAZA	  36.788	    2.448	15	      30	1			       245	3	       5.000	2																
5219		1989	11	20	4	19	  4.6	18	 5.9	 5.9	 5.7	 5.6					IRAN		IRAN:  SHAHDAD, KERMAN PROVINCE	  29.892	   57.718	140	       3	1			        45	1		1					       3	1			45	1		1				
5220		1989	12	15	18	43	 45.0	24	 7.5	 7.5	 7.3	 6.2				6	PHILIPPINES		PHILIPPINES:  MINDANAO:  COTABATO, DAVAO	   8.337	  126.729	170	       2	1				3	       1.000	2					       2	1				3	       1.000	2				
5224		1990	3	4	19	46	 19.6	10	 6.1		 6.1	 5.8					PAKISTAN		PAKISTAN:  KALAT, QUETTA, MASTUNG	  28.925	   66.331	60	      11	1			        40	1	       1.000	2				3	      11	1			40	1	       1.000	2				3
5227		1990	3	26	22	47	 16.7	39	 5.5		 5.5	 5.6				4	PHILIPPINES		PHILIPPINES:  SANTIAGO	   9.253	  125.606	170	       1	1			         2	1		1					       1	1			2	1		1				
5231		1990	4	18	13	39	 19.0	26	 7.6	 7.6	 7.4	 6.2					INDONESIA		INDONESIA:  MINAHASSA PENINSULA: BOLAANG-GORONTALO	   1.186	  122.857	170	       3	1			        25	1		3			1140	4	       3	1			25	1		3			1140	4
5233		1990	4	26	9	37	 15.0	8	 6.9		 6.9	 6.5					CHINA		CHINA:  QINGHAI PROVINCE:  GANGHE-XINGHAI	  35.986	  100.245	30	     126	3			      2049	4	      58.350	4	66800	4	66800	4	     126	3			2049	4	      58.350	4	66800	4		
5237		1990	5	20	2	22	  1.6	15	 7.1		 7.1	 6.7					SUDAN		SUDAN:  JUBA, MAYA;  UGANDA: NAKURA	   5.121	   32.145	15	      31	1						1					      31	1						1				2
5240		1990	5	30	2	34	  5.8	24	 6.5		 6.5	 6.1				6	PERU		PERU:  MOYABAMBA-RIOJO	  -6.016	  -77.229	160	     200	3			      8130	4	       1.000	2					     200	3			8130	4	       1.000	2				
5241		1990	5	30	10	40	  6.1	89	 6.7			 6.7				6	ROMANIA		ROMANIA:  BUCHAREST, BRAILA, BRASOV	  45.841	   26.668	110	      14	1			       700	3	      23.700	3					      14	1			700	3	      23.700	3				
5245		1990	6	14	7	40	 56.2	18	 7.1		 7.1	 6.0				6	PHILIPPINES		PHILIPPINES:  CULASI, PANAY	  11.760	  121.899	170	       4	1			        15	1		2					       4	1			15	1		2				
5246		1990	6	14	12	47	 28.8	58	 6.8		 6.8	 6.1				5	KAZAKHSTAN		KAZAKHSTAN:  UST, ZAYSAN	  47.869	   85.076	40	       1	1						3	3000	4			       1	1						3	3000	4		
5248		1990	6	20	21	0	  9.9	19	 7.7		 7.7	 6.4				7	IRAN		IRAN:  RASHT, QAZVIN, ZANJAN,  RUDBAR, MANJIL	  36.957	   49.409	140	   50000	4			    105000	4	    8000.000	4		4			   50000	4			105000	4	    8000.000	4		4		
5252		1990	7	13	14	20	 43.4	217	 5.6			 5.6				4	AFGHANISTAN		AFGHANISTAN:  HINDU KUSH:  PIK LENINA	  36.415	   70.789	40	      43	1											      43	1										
5253		1990	7	16	7	26	 34.6	25	 7.8		 7.8	 6.5				9	PHILIPPINES		PHILIPPINES:  BAGUIO,  CABANATUAN, DAGUPAN	  15.679	  121.172	170	    2412	4			      3000	4	     369.600	4					    2412	4			3000	4	     369.600	4				
5262		1990	10	20	8	7	 27.5	12	 5.8		 5.8	 5.6				4	CHINA		CHINA:  GANSU PROVINCE:  TIANZHU	  37.093	  103.781	30	       7	1			        92	2		3	87000	4			       4	1			92	2		3	87000	4		
5263		1990	10	25	4	53	 59.9	114	 6.0			 6.0				4	AFGHANISTAN		AFGHANISTAN:  HINDU KUSH:  CHITRAL, MARDAN, MALAKAND	  35.121	   70.486	40	      11	1			       250	3		1					      11	1			250	3		1				
5264		1990	11	6	18	45	 52.2	11	 6.7		 6.7	 6.2					IRAN		IRAN:  S, DARAB	  28.251	   55.462	140	      22	1			       100	2	     232.300	4					      22	1			100	2	     232.300	4				
5265		1990	11	15	2	34	 32.4	48	 6.8		 6.8	 6.0					INDONESIA		INDONESIA:   N SUMATERA, BLANGKEJEREN, KUTACANE	   3.908	   97.457	170	       1	1			        32	1	       2.100	2					       1	1			32	1	       2.100	2				
5269		1990	12	13	3	1	 48.0	12	 6.2		 6.2	 5.9				4	TAIWAN		TAIWAN:  HUALIEN,  TAIPEI	  23.916	  121.636	30	       2	1			         3	1		1					       2	1			3	1		1				
5270		1990	12	21	6	57	 42.9	13	 5.9		 5.9	 5.8				7	GREECE		GREECE:  EDHESSA, KILKIS	  41.004	   22.300	130	       1	1			        60	2		1				2	       1	1			60	2		1				2
5271		1990	12	22	17	27	 54.8	17	 5.7		 5.7	 5.3				8	COSTA RICA		COSTA RICA:  ALAJUELA, SANTIAGO DE PURISCAL	   9.869	  -84.302	100	       2	1			       350	3	      19.500	3					       2	1			350	3	      19.500	3				
5274		1991	1	31	23	3	 33.6	142	 6.4			 6.4				7	AFGHANISTAN		AFGHANISTAN:  BADAKHSTAN, BAGHLAN, LAGHMAN, NAGARHAR	  35.993	   70.423	40	     848	3			       200	3	      36.000	4		3	2000	4	     848	3			200	3	      36.000	4		3	2000	4
5279		1991	4	5	4	19	 49.5	20	 6.7		 6.7	 6.5				7	PERU		PERU:  RIOJA, MOYOBAMBA, NUEVA CAJAMARCA	  -5.982	  -77.094	160	      53	2			       252	3		3			8063	4	      53	2			252	3		3			8063	4
5282	Tsu	1991	4	22	21	56	 51.8	10	 7.6	 7.6	 7.4	 6.3			 7.6	10	COSTA RICA		COSTA RICA:  LIMON, PANDORA	   9.685	  -83.073	90	      87	2					     510.000	4					      89	2					     510.000	4				
5286		1991	4	29	9	12	 48.1	17	 7.0		 7.0	 6.2				9	GEORGIA		GEORGIA:  DZHAVA, CHIATURA, AMBROLAURI	  42.453	   43.673	40	     270	3					    1700.000	4		4			     270	3					    1700.000	4		4		
5291		1991	6	15	0	59	 20.3	9	 6.1		 6.1	 6.1				8	GEORGIA		GEORGIA:  DZHAVA, TSKHINVALI, OSSETIA	  42.461	   44.009	40	       8	1			       200	3		3					       8	1			200	3						
5296		1991	7	4	11	43	 10.4	29	 6.5		 6.5	 6.2					INDONESIA		INDONESIA:  TIMOR:  KALABAHI, DILI	  -8.099	  124.681	170	      28	1			       181	3	       7.700	3	1150	4			      28	1			181	3	       7.700	3	1150	4		
5298		1991	7	12	10	42	 21.2	11	 5.6	 5.6	 5.7	 5.3				8	ROMANIA		ROMANIA:  BANLOC, DETA, TIMISOARA	  45.364	   21.057	110	       2	1			        30	2		1				2	       2	1			30	1		1				2
5306		1991	9	18	9	48	 13.1	5	 6.2		 6.2	 5.7				6	GUATEMALA		GUATEMALA:  GUATEMALA CITY, PACHUTA, SOLOLA	  14.646	  -90.986	100	      25	1			       200	3		3					      25	1			200	3		3				
5307		1991	10	19	21	23	 14.3	10	 7.0		 7.0	 6.5				8	INDIA		INDIA:  CHAMOLI, UTTARKASHI, NEW DELHI, CHANDIGARH	  30.780	   78.774	60	    2000	4			      1800	4	      60.000	4	7500	4	7500	4	    2000	4			1800	4	      60.000	4	7500	4		
5311		1991	11	19	22	28	 51.0	21	 6.4		 6.4	 6.4				6	COLOMBIA		COLOMBIA:  CHACO, BUENAVENTURA, CALI	   4.554	  -77.442	160	       2	1						1			28	1	       2	1						2			28	1
5317		1992	3	13	17	18	 39.9	27	 6.9		 6.9	 6.2				8	TURKEY		TURKEY:  ERZINCAN	  39.710	   39.605	140	     653	3			      2000	4	     750.000	4			8057	4	     653	3			2000	4	     750.000	4			8057	4
5323		1992	5	15	8	8	  2.9	50	 6.2		 6.2	 5.7				7	KYRGYZSTAN		KYRGYZSTAN:  OSH; UZBEKISTAN:  ANDIZHAN	  41.019	   72.429	40	       4	1					      31.000	4	5500	4	4000	4	       4	1					      31.000	4	5500	4	4000	4
5325		1992	5	20	12	20	 32.8	16	 6.0		 6.0	 6.0					PAKISTAN		PAKISTAN:  PESHAWAR, KOHAT, SHAKKAR KHEL	  33.377	   71.317	60	      36	1			       100	2		2	400	3			       6	1			100	2		2	400	3		
5328		1992	6	28	11	57	 34.1	1	 7.6		 7.6	 6.2				9	USA	CA	CALIFORNIA: LANDERS, YUCCA  VALLEY	  34.201	 -116.436	150	       3	1			       400	3	      92.000	4					       3	1			400	3	      92.000	4				
5332		1992	8	19	2	4	 37.4	27	 7.5		 7.5	 6.6				9	KYRGYZSTAN		KYRGYZSTAN:  TOLUK	  42.142	   73.575	40	      75	2					     130.000	4	8200	4			      75	2					     130.000	4	8200	4		
5334		1992	8	28	0	50	 50.4	9	 5.5		 5.5	 5.5					PAKISTAN		PAKISTAN:  KALAT	  29.087	   66.740	60	       4	1			       200	3		2		3			       4	1			200	3		2		3		
5338		1992	9	11	3	57	 26.5	11	 7.0		 7.0	 6.7					CONGO		CONGO:  KABALO	  -6.087	   26.651	10	       8	1			        37	1		1		2			       8	1			37	1		1		2		
5342		1992	10	18	15	11	 59.1	10	 7.4		 7.4	 6.6					COLOMBIA		COLOMBIA:  MURINDO, APARTADO, MEDELLIN	   7.075	  -76.862	160	      11	1			       115	2		2		2			      11	1			115	2		2				
5343	Tsu	1992	12	12	5	29	 26.3	28	 7.8	 7.8	 7.5	 6.5					INDONESIA		INDONESIA:  FLORES REGION, MAUMERE, BABI	  -8.480	  121.896	60	    1000	4			       500	3	     100.000	4	31785	4			    2500	4			2103	4	     100.000	4	31785	4		
5344		1993	1	15	11	6	  5.9	102	 7.6	 7.6	 7.1	 6.9				6	JAPAN		JAPAN:  HOKKADIO, KUSHIRO, HACHINOHE, HONSHU	  43.300	  143.691	30	       2	1					     358.000	4					       2	1					     358.000	4				
5349		1993	3	12	14	1	 35.4	10	 6.4	 6.4	 6.4	 6.0					WALLIS AND FUTUNA (FRENCH TERRITORY)		FUTUNA ISLAND	 -14.385	 -178.252	170	       5	1			       201			1					       5	1			20	1		1		2		2
5350		1993	3	20	14	51	 59.7	12	 6.2	 6.2	 6.0	 5.8					CHINA		CHINA:  TIBET (XIZANG PROVINCE): NGAMRING	  29.084	   87.333	40	       2	1			         3	1		1					       2	1			3	1		1				
5353		1993	4	18	9	16	 23.2	106	 6.3	 6.3		 6.0					PERU		PERU:  LIMA	 -11.652	  -76.530	160	       6	1						1																
5356		1993	7	10	20	40	 58.9	20	 5.8	 5.8	 5.6	 5.3					COSTA RICA		COSTA RICA:  TURRIALBA, CARTAGO	   9.821	  -83.622	100	       2	1			         9	1		1					       2	1			9	1		1				
5357	Tsu	1993	7	12	13	17	 11.9	17	 7.7	 7.7	 7.6	 6.6				8	JAPAN		JAPAN:  HOKKAIDO; RUSSIA:  SOUTHEAST; SOUTH KOREA	  42.851	  139.197	30	      23	3			       233	3	    1207.000	4		3			     231	3			233	3	    1207.000	4	2374	4		
5359		1993	8	1	0	20	 40.5	13	 5.5	 5.5	 5.1	 5.2					SUDAN		SUDAN:  KHARTOUM	  15.385	   31.690	15	       2	1			         9	1		1					       2	1			9	1		1				
5362		1993	9	10	19	12	 54.6	34	 7.2	 7.2	 7.3	 6.2					GUATEMALA		GUATEMALA:  SOUTHWEST; MEXICO:  CHIAPAS	  14.717	  -92.645	100	       1	1			         3	1		2					       1	1			3	1		2				
5363		1993	9	21	3	28	 55.4	11	 6.0	 6.0	 5.8	 5.7				7	USA	OR	OREGON:  KLAMATH FALLS	  42.314	 -122.012	150	       2	1					       7.500	3																
5364		1993	9	29	22	25	 48.6	7	 6.2	 6.2	 6.2	 6.3				8	INDIA		INDIA:  LATUR-OSMANABAD, KILLARI	  18.066	   76.451	60	   11000	4			     30000	4	     300.000	4		4		4	   11000	4			30000	4	     300.000	4		4		
5366		1993	10	13	2	6	   .3	25	 6.9	 6.9	 7.0	 6.4					PAPUA NEW GUINEA		PAPUA NEW GUINEA:  EASTERN:  UPPER MARKHAM VALLEY	  -5.889	  146.020	170	      60	2			       200	3	       5.000	2					      60	2			200	3	       5.000	2				
5372	Tsu	1994	1	17	12	30	 55.3	18	 6.7	 6.7	 6.8	 6.4				9	USA	CA	CALIFORNIA:  NORTHRIDGE	  34.213	 -118.537	150	      60	2			      7000	4	   40000.000	4	40000	4			      60	2			7000	4	   40000.000	4	40000	4		
5375	Tsu	1994	1	21	2	24	 29.9	20	 7.0	 7.0	 7.2	 6.2					INDONESIA		INDONESIA:  KAU	   1.015	  127.733	170	       9	1			       300	3		2			550	3	       9	1			300	3		2			550	3
5377		1994	2	5	23	34	  9.9	14	 6.2	 6.2	 6.0	 5.8					UGANDA		UGANDA:  FORT PORTAL, KASESE; ZAMBIA	    .593	   30.037	10	       7	1				2	      70.000	4					       7	1				2	      70.000	4				
5379		1994	2	15	17	7	 43.8	23	 6.9	 6.9	 7.0	 5.9					INDONESIA		INDONESIA:  SOUTHERN SUMATERA, LIWA, LAMPUNG	  -4.967	  104.302	170	     207	3			      2000	4	     170.476	4	6000	4			     207	3			2000	4	     170.476	4	6000	4		
5380		1994	2	23	8	2	  4.7	6	 6.1	 6.1	 6.1	 6.1					IRAN		IRAN:  SISTAN	  30.853	   60.596	140	       6	1				3	       1.400	2					       6	1				3	       1.400	2				
5381		1994	3	1	3	49	   .8	13	 6.1	 6.1	 6.0	 5.8					IRAN		IRAN:  SOUTHERN:  FIRUZABAD	  29.096	   52.617	140	       2	1			        50	1		1				1	       2	1			50	1		1				1
5384		1994	5	1	12	0	 35.7	19	 6.1	 6.1	 6.3	 6.0				6	AFGHANISTAN		AFGHANISTAN:  HINDU KUSH:  TASHIAK, TERMIZ	  36.901	   67.163	40	     160	3															160	3						
5386		1994	6	5	1	9	 30.1	11	 6.4	 6.4	 6.6	 6.1					TAIWAN		TAIWAN:  CHI-LUNG, I-LAN, TAIPEI, NAN-AO	  24.511	  121.905	30	       1	1			         2	1		2		2			       1	1			2	1		2		2		
5387		1994	6	6	20	47	 40.5	12	 6.8	 6.8	 6.6	 6.4					COLOMBIA		COLOMBIA:  CAUCA, HUILA	   2.917	  -76.057	160	     650	3					       2.400	2	200	3			     650	3					       2.400	2	200	3		
5388		1994	6	9	0	33	 16.2	631	 8.2	 8.2		 7.0					BOLIVIA		BOLIVIA-PERU: AREQUIPA, FELT IN N AND S AMERICA	 -13.841	  -67.553	160	       5	1				3		2					       5	1				3		2				
5390		1994	6	20	9	9	  2.9	9	 5.9	 5.9	 5.7	 5.9					IRAN		IRAN:  FIRUZABAD, SHIRAZ	  28.968	   52.614	140	       3	1			       100	2		3		3		3	       3	1			100	2		3		3		3
5391		1994	8	18	1	13	  5.7	9	 5.9	 5.9	 5.9	 5.7					ALGERIA		ALGERIA:  MASCARA	  35.520	    -.106	15	     171	3						4		4		4	     171	3						4		4		
5392	Tsu	1994	10	4	13	22	 55.8	14	 8.3	 8.3	 8.1	 7.3				9	RUSSIA		RUSSIA:  KURIL ISLANDS; JAPAN:  HOKKAIDO	  43.773	  147.321	50	      11	1			       382	3		3					      11	1			382	3		3				
5393	Tsu	1994	10	8	21	44	  7.2	17	 6.8	 6.8	 6.8	 6.4					INDONESIA		INDONESIA:  HALMAHERA	  -1.258	  127.980	170	       1	1			        52	2		2			500	3	       1	1			52	2		2			500	3
5394	Tsu	1994	11	14	19	15	 30.6	32	 7.1	 7.1	 7.1	 6.1					PHILIPPINES		PHILIPPINES:  MINDORO	  13.525	  121.067	170	      81	2			       225	3	       3.700	2	797	3	3288	4	      81	2			225	3	       3.700	2	797	3	3288	4
5397	Tsu	1994	12	28	12	19	 23.0	27	 7.8	 7.8	 7.5	 6.4				9	JAPAN		JAPAN:  HONSHU	  40.525	  143.419	30	       3	1			       200	3	     170.400	4					       3	1			200	3	     170.400	4				
5399	Tsu	1995	1	16	20	46	 52.1	22	 6.9	 6.9	 6.8	 6.3				11	JAPAN		JAPAN:  SW HONSHU:  KOBE, AWAJI-SHIMA, NISHINOMIYA	  34.583	  135.018	30	    5502	4			     36896	4	  100000.000	4	200000	4			    5502	4			36896	4	  100000.000	4	200000	4		
5402		1995	1	19	15	5	  3.4	17	 6.5	 6.5	 6.6	 6.3					COLOMBIA		COLOMBIA:  BOGOTA, MANIZALES, MIRAFLORES	   5.050	  -72.916	160	       7	1				2		2	512	3	20	1	       7	1				2		2	512	3	20	1
5404		1995	2	8	18	40	 25.3	74	 6.4	 6.4		 6.3					COLOMBIA		COLOMBIA:  CALI, PEREIRA, ARMENIA, CALARCA	   4.104	  -76.622	160	      45	1			       400	3	      50.000	4	2000	4			      45	1	1		400	3	      50.000	4	2000	4		
5405		1995	2	23	21	3	  1.3	10	 5.9	 5.9	 5.7	 5.8				7	CYPRUS		CYPRUS:  PAPHOS, NICOSIA, ARODHES, PERISTERONA	  35.046	   32.279	130	       2	1			         5	1	       4.340	2	70	2	570	3	       2	1			5	1	       4.340	2	70	2	570	3
5412	Tsu	1995	5	27	13	3	 52.6	11	 7.1		 7.1	 6.7	7.5			9	RUSSIA		RUSSIA:  SAKHALIN IS:  NEFTEGORSK, OKHA, MOSKALVO	  52.629	  142.827	50	    1989	4			       750	3	     300.000	4					    1989	4			750	3	     300.000	4				
5413	Tsu	1995	6	15	0	15	 48.7	14	 6.5	 6.5	 6.5	 6.1				7	GREECE		GREECE:  AIYION, ERATINI	  38.401	   22.283	130	      26	1			        60	2	     660.000	4					      26	1			60	2	     660.000	4				
5414		1995	7	11	21	46	 39.7	13	 6.8	 6.8	 7.1	 6.1					CHINA		CHINA: YUNNAN PROVINCE: LANCANG, MENGLIAN; THAILAND	  21.966	   99.196	30	      11	1			       136	3	      36.100	4	100000	4	100000	4	      11	1			136	3	      36.100	4	100000	4		
5415		1995	7	21	22	44	  4.5	13	 5.6	 5.6	 5.4	 5.7					CHINA		CHINA:  GANSU, YONGDENG, BAIYIN, DINGXI, JINGTAI	  36.427	  103.123	30	      14	1			        60	1		3	4500	4			      14	1			60	1		3	4500	4		
5416	Tsu	1995	7	30	5	11	 23.6	46	 8.0	 8.0	 7.3	 6.6				7	CHILE		CHILE:  ANTOFAGASTA, CALAMA, MEJILLONES	 -23.340	  -70.294	160	       3	1			        58	2	       1.660	2	115	3			       3	1					       1.791	2	115	3		
5418	Tsu	1995	9	14	14	4	 31.4	23	 7.4	 7.4	 7.2	 6.4					MEXICO		MEXICO:  GUERRERO, OAXACA, PUEBLA, MEXICO CITY	  16.779	  -98.597	150	       3	1			       100	2		2					       3				100	2		2				
5419		1995	10	1	15	57	 16.2	33	 6.4	 6.4	 6.2	 5.8				8	TURKEY		TURKEY:   DINAR, EVCILER	  38.063	   30.134	140	      95	2			       348	3	     205.800	4	5100	4			      95	2			348	3	     205.800	4	5100	4		
5420		1995	10	3	1	51	 23.9	24	 7.0	 7.0	 7.0	 6.5					ECUADOR		ECUADOR:  QUITO	  -2.750	  -77.881	160	       2	1			         5	1		1	83	2			       2	1			5	1		1	83	2		
5422		1995	10	6	18	9	 45.9	33	 6.8	 6.8	 6.9	 5.8					INDONESIA		INDONESIA:  SUMATERA, JAMBI PROVINCE	  -2.045	  101.436	170	      84	2			      1868	4		4	17600	4			      84	2			1868	4		4	17600	4		
5423	Tsu	1995	10	9	15	35	 53.9	33	 8.0	 8.0	 7.4	 6.6					MEXICO		MEXICO:  JALISCO, MANZANILLO, SAN PATRICIO MELAQUE	  19.055	 -104.205	150	      49	2			       200	3		2		2			      50	1			200	3		2		2		
5424		1995	10	23	22	46	 50.8	10	 6.2	 6.2	 6.4	 5.8					CHINA		CHINA:  YUNNAN PROVINCE:  WUDING	  26.003	  102.227	30	      81	2			       800	3	      80.000	4	200	3	200	3	      81	2			800	3	      80.000	4	200	3		
5426	Tsu	1995	11	22	4	15	 11.9	10	 7.2	 7.2	 7.3	 6.2				8	EGYPT		EGYPT:  NUWAYBI; SAUDI ARABIA; ISRAEL; JORDAN	  28.826	   34.799	15	      12	1				2		2					      12	1				2		2				
5430		1996	2	3	11	14	 20.1	11	 6.6	 6.6	 6.5	 6.4				9	CHINA		CHINA:  YUNNAN PROVINCE:  LIJIANG	  27.291	  100.276	30	     322	3			     17057	4	     506.000	4	959000	4	959000	4	     322	3			17057	4	     506.000	4	959000	4		
5433	Tsu	1996	2	17	5	59	 30.5	33	 8.2	 8.2	 8.1	 6.5					INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA:  BIAK, SUPIORI	   -.891	  136.952	170	      54	2			       423	3	       4.200	2	5043	4			     164	3			423	3	       4.200	2	5043	4		
5436		1996	3	19	15	0	 26.0	28	 6.3	 6.3	 6.0	 5.7					CHINA		CHINA:  S. XINJIANG:   ARTUX, JIASHI, BACHU, KASHI	  39.993	   76.696	40	      24	1			       128	3	      24.000	3	15314	4			      24	1			128	3	      24.000	3	15314	4		
5437		1996	3	28	23	3	 49.8	33	 5.9	 5.9	 5.2	 5.8				6	ECUADOR		ECUADOR:  COTOPAXI, PASTAZA, TUNGURAHUA, AMBATO	  -1.036	  -78.737	160	      27	1					       7.000	3																
5438		1996	4	29	14	40	 41.0	44	 7.2	 7.2	 7.5	 6.3					SOLOMON ISLANDS		SOLOMON ISLANDS:  BOUGAINVILLE ISLAND	  -6.518	  154.999	170	       1	1						2		3										2		3		
